c	N	u	s
254	2	253.4584875	253.4906885
256	2	255.4584747	255.4906765
258	1	257.4584621	257.4906646
259	1	258.4584559	258.4906588
261	2	260.4584436	260.4906472
262	1	261.4584375	261.4906414
263	1	262.4584314	262.4906358
265	2	264.4584195	264.4906245
266	2	265.4584136	265.490619
269	2	268.4583961	268.4906025
271	2	270.4583847	270.4905918
272	2	271.458379	271.4905865
273	1	272.4583734	272.4905812
275	1	274.4583623	274.4905708
276	2	275.4583568	275.4905656
277	1	276.4583514	276.4905605
278	2	277.458346	277.4905554
279	1	278.4583406	278.4905503
280	2	279.4583353	279.4905453
282	1	281.4583247	281.4905354
285	1	284.4583092	284.4905208
286	2	285.4583041	285.490516
288	1	287.458294	287.4905065
289	1	288.4582889	288.4905018
290	1	289.458284	289.4904971
292	1	291.4582741	291.4904878
293	1	292.4582693	292.4904832
295	1	294.4582596	294.4904742
297	1	296.4582501	296.4904652
299	2	298.4582407	298.4904564
301	1	300.4582315	300.4904477
305	1	304.4582133	304.4904306
307	1	306.4582044	306.4904222
308	1	307.4582	307.4904181
309	1	308.4581956	308.490414
313	2	312.4581784	312.4903978
320	1	319.4581492	319.4903704
321	1	320.4581452	320.4903665
322	2	321.4581412	321.4903627
327	2	326.4581214	326.4903441
329	1	328.4581136	328.4903368
330	1	329.4581098	329.4903332
332	1	331.4581022	331.4903261
335	1	334.4580909	334.4903155
336	2	335.4580872	335.490312
337	2	336.4580835	336.4903085
339	1	338.4580762	338.4903017
340	1	339.4580726	339.4902983
344	3	343.4580583	343.4902849
345	1	344.4580548	344.4902816
346	1	345.4580513	345.4902783
347	1	346.4580479	346.490275
349	1	348.458041	348.4902685
353	1	352.4580274	352.4902558
354	3	353.4580241	353.4902526
356	1	355.4580175	355.4902464
357	2	356.4580142	356.4902433
363	1	362.4579949	362.4902252
366	2	365.4579855	365.4902163
371	1	370.4579701	370.4902019
374	1	373.4579611	373.4901934
375	1	374.4579581	374.4901906
378	1	377.4579493	377.4901823
386	2	385.4579264	385.4901608
387	1	386.4579236	386.4901581
391	1	390.4579126	390.4901478
395	2	394.4579018	394.4901376
398	1	397.4578938	397.4901301
403	2	402.4578808	402.4901179
407	1	406.4578706	406.4901083
414	1	413.4578533	413.490092
417	2	416.457846	416.4900852
418	1	417.4578436	417.4900829
419	1	418.4578412	418.4900807
420	1	419.4578389	419.4900784
422	1	421.4578342	421.490074
426	2	425.4578249	425.4900653
427	1	426.4578226	426.4900631
428	2	427.4578203	427.490061
431	1	430.4578135	430.4900546
438	1	437.457798	437.49004
439	1	438.4577959	438.490038
447	1	446.4577788	446.490022
449	2	448.4577747	448.4900181
460	1	459.4577524	459.4899971
463	1	462.4577466	462.4899916
466	1	465.4577408	465.4899862
467	1	466.4577388	466.4899844
474	1	473.4577256	473.4899719
475	1	474.4577238	474.4899702
477	1	476.4577201	476.4899667
480	1	479.4577146	479.4899616
484	1	483.4577074	483.4899548
485	1	484.4577056	484.4899531
488	1	487.4577004	487.4899482
489	2	488.4576986	488.4899465
490	1	489.4576969	489.4899449
491	2	490.4576951	490.4899432
496	1	495.4576865	495.4899352
501	1	500.4576781	500.4899273
504	1	503.4576732	503.4899226
506	1	505.4576699	505.4899195
507	1	506.4576683	506.489918
510	1	509.4576634	509.4899134
511	2	510.4576618	510.4899119
512	1	511.4576602	511.4899104
514	1	513.4576571	513.4899074
517	1	516.4576523	516.489903
520	1	519.4576477	519.4898986
522	1	521.4576446	521.4898957
525	1	524.45764	524.4898914
526	1	525.4576385	525.48989
527	1	526.457637	526.4898886
529	1	528.457634	528.4898858
531	1	530.457631	530.489883
534	1	533.4576266	533.4898788
537	1	536.4576222	536.4898747
539	1	538.4576194	538.489872
542	1	541.4576151	541.4898679
543	1	542.4576137	542.4898666
544	2	543.4576122	543.4898653
550	2	549.4576039	549.4898574
552	1	551.4576011	551.4898548
563	2	562.4575863	562.4898409
570	3	569.4575772	569.4898323
571	1	570.4575759	570.4898311
577	1	576.4575683	576.489824
580	1	579.4575646	579.4898204
581	1	580.4575633	580.4898193
585	1	584.4575584	584.4898147
590	1	589.4575524	589.489809
591	1	590.4575512	590.4898078
599	1	598.4575417	598.489799
606	1	605.4575337	605.4897914
609	1	608.4575303	608.4897882
610	1	609.4575291	609.4897871
611	1	610.457528	610.4897861
617	1	616.4575214	616.4897798
619	1	618.4575192	618.4897777
630	1	629.4575074	629.4897667
631	1	630.4575063	630.4897657
635	1	634.4575022	634.4897617
642	1	641.457495	641.489755
646	1	645.4574909	645.4897512
650	1	649.457487	649.4897475
653	1	652.457484	652.4897447
655	1	654.4574821	654.4897428
668	1	667.4574696	667.4897312
673	1	672.457465	672.4897268
679	2	678.4574595	678.4897216
689	2	688.4574506	688.4897132
701	1	700.4574402	700.4897035
707	1	706.4574351	706.4896987
708	1	707.4574343	707.4896979
712	1	711.457431	711.4896948
713	1	712.4574301	712.489694
717	1	716.4574269	716.4896909
723	1	722.457422	722.4896864
724	1	723.4574212	723.4896856
725	1	724.4574204	724.4896849
727	1	726.4574188	726.4896834
734	2	733.4574134	733.4896782
736	1	735.4574118	735.4896768
738	2	737.4574103	737.4896753
740	2	739.4574087	739.4896739
742	2	741.4574072	741.4896725
748	1	747.4574027	747.4896682
772	1	771.4573853	771.4896519
781	1	780.4573791	780.489646
783	1	782.4573777	782.4896447
792	1	791.4573716	791.489639
793	1	792.457371	792.4896384
798	1	797.4573677	797.4896353
803	1	802.4573644	802.4896322
814	1	813.4573574	813.4896256
818	1	817.4573549	817.4896232
819	1	818.4573542	818.4896226
839	1	838.4573421	838.4896112
842	1	841.4573403	841.4896095
843	1	842.4573397	842.4896089
845	1	844.4573385	844.4896078
851	1	850.457335	850.4896046
853	1	852.4573339	852.4896035
859	1	858.4573305	858.4896003
863	1	862.4573282	862.4895981
868	1	867.4573254	867.4895955
871	1	870.4573237	870.4895939
878	1	877.4573199	877.4895903
885	1	884.4573161	884.4895868
904	1	903.4573062	903.4895775
921	1	920.4572977	920.4895694
922	2	921.4572972	921.489569
948	1	947.4572847	947.4895573
955	1	954.4572815	954.4895542
960	1	959.4572792	959.4895521
962	1	961.4572783	961.4895512
972	1	971.4572738	971.489547
985	2	984.4572682	984.4895417
986	1	985.4572677	985.4895413
990	1	989.457266	989.4895396
1027	1	1026.457251	1026.489525
1028	1	1027.45725	1027.489525
1033	1	1032.457248	1032.489523
1054	1	1053.45724	1053.489516
1067	1	1066.457236	1066.489511
1092	1	1091.457227	1091.489503
1099	2	1098.457224	1098.4895
1101	1	1100.457223	1100.4895
1143	1	1142.457209	1142.489486
1149	1	1148.457208	1148.489485
1190	1	1189.457195	1189.489473
1193	1	1192.457194	1192.489472
1195	1	1194.457194	1194.489471
1205	1	1204.457191	1204.489469
1207	1	1206.45719	1206.489468
1220	1	1219.457186	1219.489465
1227	1	1226.457184	1226.489463
1238	1	1237.457181	1237.48946
1239	1	1238.457181	1238.48946
1243	1	1242.45718	1242.489459
1252	1	1251.457178	1251.489456
1253	1	1252.457177	1252.489456
1254	1	1253.457177	1253.489456
1267	1	1266.457174	1266.489453
1270	1	1269.457173	1269.489452
1272	1	1271.457172	1271.489452
1282	1	1281.45717	1281.489449
1324	1	1323.457159	1323.489439
1341	1	1340.457155	1340.489436
1349	1	1348.457154	1348.489434
1351	1	1350.457153	1350.489433
1353	1	1352.457153	1352.489433
1354	1	1353.457152	1353.489433
1357	1	1356.457152	1356.489432
1395	1	1394.457143	1394.489424
1397	1	1396.457143	1396.489424
1401	1	1400.457142	1400.489423
1430	1	1429.457136	1429.489417
1449	1	1448.457132	1448.489414
1461	1	1460.45713	1460.489411
1466	1	1465.457129	1465.489411
1483	1	1482.457125	1482.489407
1502	1	1501.457122	1501.489404
1516	1	1515.457119	1515.489402
1529	1	1528.457117	1528.489399
1619	1	1618.457102	1618.489385
1623	1	1622.457101	1622.489385
1626	1	1625.457101	1625.489384
1636	1	1635.457099	1635.489383
1646	1	1645.457098	1645.489381
1648	1	1647.457097	1647.489381
1709	1	1708.457088	1708.489372
1720	1	1719.457087	1719.489371
1728	1	1727.457085	1727.48937
1732	1	1731.457085	1731.489369
1736	1	1735.457084	1735.489369
1738	1	1737.457084	1737.489369
1740	1	1739.457084	1739.489368
1770	1	1769.45708	1769.489364
1787	1	1786.457077	1786.489362
1823	1	1822.457073	1822.489358
1842	1	1841.45707	1841.489356
1884	1	1883.457065	1883.489351
1904	1	1903.457063	1903.489349
2009	1	2008.457052	2008.489338
2044	1	2043.457048	2043.489335
2063	1	2062.457046	2062.489333
2088	2	2087.457044	2087.489331
2170	1	2169.457036	2169.489323
2184	1	2183.457035	2183.489322
2209	1	2208.457033	2208.48932
2210	1	2209.457033	2209.48932
2265	1	2264.457028	2264.489316
2411	1	2410.457017	2410.489305
2494	1	2493.457011	2493.4893
2503	1	2502.45701	2502.489299
2552	1	2551.457007	2551.489296
2615	1	2614.457003	2614.489293
2632	1	2631.457002	2631.489292
2669	1	2668.457	2668.489289
2693	1	2692.456999	2692.489288
2713	1	2712.456997	2712.489287
2745	1	2744.456996	2744.489285
2777	1	2776.456994	2776.489284
2783	1	2782.456994	2782.489283
2817	1	2816.456992	2816.489282
2852	1	2851.45699	2851.48928
2863	1	2862.456989	2862.489279
2967	1	2966.456984	2966.489275
2996	1	2995.456983	2995.489273
3011	1	3010.456982	3010.489273
3040	1	3039.456981	3039.489271
3226	1	3225.456973	3225.489264
3282	1	3281.456971	3281.489262
3346	1	3345.456968	3345.48926
3428	1	3427.456965	3427.489257
3438	1	3437.456965	3437.489256
3458	1	3457.456964	3457.489256
3532	1	3531.456962	3531.489253
3619	1	3618.456959	3618.489251
3670	1	3669.456957	3669.489249
3724	1	3723.456956	3723.489248
3733	1	3732.456955	3732.489247
3851	1	3850.456952	3850.489244
4033	1	4032.456947	4032.48924
4166	1	4165.456944	4165.489236
4301	1	4300.45694	4300.489233
4530	1	4529.456936	4529.489229
4618	1	4617.456934	4617.489227
4674	1	4673.456933	4673.489226
4810	1	4809.45693	4809.489224
4843	1	4842.45693	4842.489223
5074	1	5073.456926	5073.48922
5121	1	5120.456925	5120.489219
5287	1	5286.456922	5286.489216
5363	1	5362.456921	5362.489215
5471	1	5470.45692	5470.489214
5517	1	5516.456919	5516.489213
5793	1	5792.456915	5792.48921
5827	1	5826.456915	5826.489209
5866	1	5865.456914	5865.489209
5884	1	5883.456914	5883.489209
6111	1	6110.456912	6110.489206
6116	1	6115.456912	6115.489206
6117	1	6116.456912	6116.489206
6358	1	6357.456909	6357.489204
6660	1	6659.456906	6659.489201
6677	1	6676.456906	6676.489201
6933	1	6932.456903	6932.489199
7994	1	7993.456895	7993.489191
8002	1	8001.456895	8001.489191
8405	1	8404.456893	8404.489189
8506	1	8505.456892	8505.489188
8733	1	8732.456891	8732.489187
8955	1	8954.45689	8954.489186
9029	1	9028.456889	9028.489185
9392	1	9391.456888	9391.489184
9679	1	9678.456886	9678.489183
10028	1	10027.45688	10027.48918
10146	1	10145.45688	10145.48918
10238	1	10237.45688	10237.48918
10814	1	10813.45688	10813.48918
10912	1	10911.45688	10911.48918
11279	1	11278.45688	11278.48918
11308	1	11307.45688	11307.48918
11579	1	11578.45688	11578.48918
11587	1	11586.45688	11586.48918
13018	1	13017.45688	13017.48917
13441	1	13440.45687	13440.48917
14230	1	14229.45687	14229.48917
15066	1	15065.45687	15065.48917
18152	1	18151.45687	18151.48916
18337	1	18336.45687	18336.48916
22617	1	22616.45686	22616.48916
23213	1	23212.45686	23212.48916
26147	1	26146.45686	26146.48916
28217	1	28216.45686	28216.48916
36378	1	36377.45685	36377.48915
36765	1	36764.45685	36764.48915
44223	1	44222.45685	44222.48915
48453	1	48452.45685	48452.48915
86460	1	86459.45685	86459.48915
119010	1	119009.4568	119009.4891
