V1	size	type
104157.180424222	1k	unweighted
104220.917853826	1k	unweighted
104517.76855835	1k	unweighted
104188.535092037	1k	unweighted
103756.906052738	1k	unweighted
104009.811743752	1k	unweighted
103957.999890133	1k	unweighted
104166.51050567	1k	unweighted
104124.840815594	1k	unweighted
103958.8069743	1k	unweighted
103765.385045117	1k	unweighted
104157.527092558	1k	unweighted
103939.111064645	1k	unweighted
104101.345650641	1k	unweighted
104118.422493526	1k	unweighted
104128.004991879	1k	unweighted
103691.312252727	1k	unweighted
104296.734921367	1k	unweighted
104211.627131165	1k	unweighted
104215.310233676	1k	unweighted
104460.561424837	1k	unweighted
103863.749108169	1k	unweighted
104015.044159046	1k	unweighted
104334.410538118	1k	unweighted
104277.214611087	1k	unweighted
104181.607548354	1k	unweighted
104204.085288161	1k	unweighted
104025.697183934	1k	unweighted
104409.567919784	1k	unweighted
103920.384865099	1k	unweighted
104108.54963378	1k	unweighted
104053.321406337	1k	unweighted
103981.989840213	1k	unweighted
103996.052103446	1k	unweighted
104432.501882711	1k	unweighted
103817.451427444	1k	unweighted
104161.664492211	1k	unweighted
104253.938955717	1k	unweighted
104274.529295031	1k	unweighted
104011.253329891	1k	unweighted
104157.93243227	1k	unweighted
104083.484881899	1k	unweighted
104260.131470993	1k	unweighted
104641.900977747	1k	unweighted
104133.957793303	1k	unweighted
104254.271186299	1k	unweighted
104020.524704644	1k	unweighted
104472.839472024	1k	unweighted
104011.319237897	1k	unweighted
104016.860013898	1k	unweighted
104350.397906505	1k	unweighted
104105.075650021	1k	unweighted
104213.163139236	1k	unweighted
104206.972952708	1k	unweighted
103915.599966265	1k	unweighted
104092.280926411	1k	unweighted
103759.570569719	1k	unweighted
104322.463440562	1k	unweighted
103994.731175276	1k	unweighted
104297.874418439	1k	unweighted
103997.495586051	1k	unweighted
104274.922522098	1k	unweighted
104227.899185296	1k	unweighted
104076.393100968	1k	unweighted
104164.863512735	1k	unweighted
104484.095036564	1k	unweighted
103663.409487874	1k	unweighted
104086.21113102	1k	unweighted
104212.68586166	1k	unweighted
104162.158834011	1k	unweighted
103998.92775395	1k	unweighted
104390.46389279	1k	unweighted
104461.421866494	1k	unweighted
103687.862546765	1k	unweighted
103914.738914265	1k	unweighted
104216.379355695	1k	unweighted
103627.977859724	1k	unweighted
103983.02109751	1k	unweighted
104183.521164596	1k	unweighted
104031.157381269	1k	unweighted
103991.860050183	1k	unweighted
104462.311238005	1k	unweighted
103855.80410618	1k	unweighted
104490.529077536	1k	unweighted
104194.779376848	1k	unweighted
104150.431132334	1k	unweighted
104072.359507671	1k	unweighted
104103.42015814	1k	unweighted
103923.227294796	1k	unweighted
104156.877470171	1k	unweighted
104207.123844821	1k	unweighted
104294.058472785	1k	unweighted
104338.377364115	1k	unweighted
104197.505870116	1k	unweighted
104000.769008463	1k	unweighted
104024.153749494	1k	unweighted
103837.889378217	1k	unweighted
104000.37371712	1k	unweighted
104272.80105478	1k	unweighted
104151.751637304	1k	unweighted
104493.402442286	1k	unweighted
104012.154164874	1k	unweighted
104214.408993203	1k	unweighted
104227.419417757	1k	unweighted
104047.764202608	1k	unweighted
104256.437551911	1k	unweighted
104130.106919921	1k	unweighted
104101.536283892	1k	unweighted
103955.305278276	1k	unweighted
104297.815639661	1k	unweighted
103965.288877009	1k	unweighted
103885.135363757	1k	unweighted
104089.008659766	1k	unweighted
104069.765197339	1k	unweighted
104144.914041457	1k	unweighted
104413.203314293	1k	unweighted
104143.777802337	1k	unweighted
104176.969288254	1k	unweighted
104256.462904332	1k	unweighted
103934.082972632	1k	unweighted
104055.401745695	1k	unweighted
104152.30316405	1k	unweighted
104443.788387125	1k	unweighted
103970.742223862	1k	unweighted
103865.391414174	1k	unweighted
