V1 Size
9.81992730823514 1k
9.59289828898387 1k
9.15052959450624 1k
9.78566852624478 1k
9.5195216019907 1k
9.80416588675488 1k
10.1254701309421 1k
9.92060170252087 1k
9.78955356361309 1k
8.81567095471198 1k
9.0124022563089 1k
9.2351362838051 1k
9.0359695471812 1k
9.17335223080489 1k
9.40519700444247 1k
9.09958378121554 1k
10.1918416681313 1k
9.63799663087488 1k
8.9461377841196 1k
9.06382245721304 1k
9.06893060128698 1k
9.57359851641148 1k
8.83751588596757 1k
9.39550916494948 1k
9.31936258526984 1k
9.48825801016094 1k
9.62049648447256 1k
9.71201305334182 1k
9.63662416191707 1k
9.2749377779036 1k
9.66514737666237 1k
9.25986489599968 1k
9.78818639269328 1k
9.77951937344487 1k
9.69549393794958 1k
9.40959790768899 1k
9.4147300200712 1k
8.75056025814012 1k
8.92477609380949 1k
10.1121539946157 1k
9.51460019422051 1k
9.54391353768975 1k
9.76954514783729 1k
8.85057197965903 1k
9.45642725645199 1k
8.85504501285442 1k
9.01739722518557 1k
9.25370745859308 1k
9.1892967761168 1k
11.2402140099218 1k
10.1147317247729 1k
10.0245537907968 1k
9.4091553530458 1k
8.72984585004172 1k
9.44602836094053 1k
9.73434728140363 1k
9.33965964840464 1k
10.1180772388786 1k
10.1569098245366 1k
9.97347201619538 1k
9.19410114571783 1k
10.185962441828 1k
9.19605081010516 1k
9.07589865381094 1k
9.29058386760572 1k
8.51465135152366 1k
9.64428191794283 1k
8.61466954746954 1k
10.3048893086842 1k
9.39141209651494 1k
9.83108856241863 1k
10.0689770661088 1k
9.48782033090458 1k
9.21269251566087 1k
9.45053452692567 1k
9.93400084838713 1k
8.70241289940114 1k
9.6001443517971 1k
9.13925767743885 1k
8.99760929809124 1k
9.41243484231327 1k
9.45470893539705 1k
9.42824516419624 1k
9.69195584682135 1k
9.22974741394593 1k
10.6508316032252 1k
9.90162859576658 1k
9.11507056459052 1k
9.1524525812115 1k
9.68686802078309 1k
9.93056086547059 1k
9.90669524495237 1k
9.16518776553765 1k
9.24704959001082 1k
8.94613776485992 1k
8.46819886259617 1k
8.90246084571638 1k
9.92807998938879 1k
9.03668235065891 1k
8.97967343751233 1k
9.60843054803765 1k
9.17315412715048 1k
9.17395595756423 1k
9.60586925543023 1k
8.70730851665188 1k
9.40680024275265 1k
10.1350579496523 1k
9.85332062090061 1k
10.3154235647026 1k
9.59900105683592 1k
9.96798749035224 1k
9.16393188677759 1k
9.48098716596333 1k
9.44938066747618 1k
8.91055952648419 1k
10.1486117399231 1k
10.354888472474 1k
9.30836811136211 1k
10.453089354317 1k
9.77838937726153 1k
9.41762864731318 1k
9.1574184726412 1k
9.29453268907903 1k
9.9020945463315 1k
9.94269940190007 1k
9.83224376145823 1k
9.4552718570561 1k
9.11978519544833 1k
9.47853920051061 1k
10.6300007576664 1k
8.98489830242187 1k
9.43632307962953 1k
9.00139286357429 1k
9.54185697769812 1k
9.7699578044514 1k
9.56402031628155 1k
8.7955706200447 1k
9.89700001122405 1k
9.53279736203231 1k
9.29715967296998 1k
9.77087230789759 1k
10.1454639841498 1k
9.96463757787233 1k
9.69418265225987 1k
9.14892643277855 1k
9.92618925189586 1k
10.3048407197444 1k
8.9741582305108 1k
8.99750226501694 1k
9.7074037505653 1k
9.52271029536502 1k
9.15200898767867 1k
9.60916394223391 1k
9.80217030831903 1k
9.54925491348567 1k
8.84639388550205 1k
8.62077730989111 1k
9.29456118118259 1k
9.40446035523697 1k
8.51997226375843 1k
9.30272042822906 1k
9.49258585568605 1k
9.89388608433538 1k
9.55215008434252 1k
9.54611524269416 1k
9.42664471319769 1k
9.45126856037369 1k
9.76527328664995 1k
9.87730636014387 1k
9.11241333140997 1k
9.13464641990994 1k
8.93032750044338 1k
9.27171994225075 1k
10.042042246463 1k
10.2383366381702 1k
9.44340089066045 1k
9.682336406203 1k
9.95931406264856 1k
9.38038389149586 1k
9.62224847161975 1k
9.4708619923117 1k
10.0132760407709 1k
9.84975255841611 1k
9.37320362491803 1k
9.49796285005555 1k
10.1202736010459 1k
8.8879203532436 1k
9.99007962615997 1k
9.73467555132289 1k
8.78728817062838 1k
9.83712040109999 1k
9.51918065591141 1k
9.040867285691 1k
9.71328073444631 1k
9.94321789846368 1k
8.40925473955527 1k
9.31777232954084 1k
9.10689667917118 1k
10.0995643687557 1k
9.27331526823023 1k
8.70083275378234 1k
9.33965207763806 1k
9.61171856036749 1k
9.54137510160821 1k
9.48714827978374 1k
8.86989760076361 1k
9.70624822188137 1k
9.7120199520205 1k
8.84553881031595 1k
10.216949557072 1k
9.62135391664223 1k
9.59637060619879 1k
9.45947734323351 1k
9.72796998452251 1k
8.40212298077363 1k
8.8823441727628 1k
9.55922691858495 1k
9.57956625043289 1k
9.50467462541751 1k
9.50763159484701 1k
10.2007202523222 1k
9.27438898418205 1k
9.76821957003748 1k
9.61078189769245 1k
9.53349017912477 1k
9.44328170968696 1k
9.21299844939122 1k
9.39460184906225 1k
9.2293341191878 1k
9.52107151549003 1k
9.9822208966786 1k
9.08450920247436 1k
9.50906400408156 1k
9.95943292412435 1k
10.1538432167936 1k
9.42350742355318 1k
9.75924970206657 1k
9.51801768510119 1k
9.73293380431063 1k
8.764576335562 1k
10.5000099450979 1k
10.3681318759062 1k
10.0351650627891 1k
9.76259295575092 1k
9.64650346400501 1k
9.29604351665992 1k
9.0474567925929 1k
9.12555989878596 1k
9.77098716186312 1k
9.96311391761214 1k
9.55088173190927 1k
10.3779369078992 1k
9.4240853363251 1k
9.79230056315756 1k
9.81160236170152 1k
10.2887698736427 1k
9.02811064965591 1k
10.3323318683577 1k
9.81168961141732 1k
9.60963858285012 1k
9.5220726313778 1k
9.68738081467153 1k
8.71682619906511 1k
8.69469893542638 1k
9.48217390529221 1k
9.07856102395507 1k
9.31050160582907 1k
9.78900247036287 1k
10.0543348454528 1k
10.017946198106 1k
9.21208448968313 1k
9.79228083831743 1k
8.82174238159187 1k
9.08567792793545 1k
9.47917759378907 1k
9.18320298582604 1k
9.36640939250488 1k
9.50551395376997 1k
9.04328180889224 1k
9.45725147476345 1k
9.73547381609889 1k
9.22965500551527 1k
10.2959424039344 1k
9.80062442601626 1k
9.5385030988007 1k
9.85944840106178 1k
9.02250267406695 1k
9.52351979363491 1k
9.33556306527212 1k
8.85309618639418 1k
9.57771441158075 1k
9.42182953425818 1k
9.86101530145809 1k
9.5730772729518 1k
10.9582882528121 1k
9.85262450620261 1k
9.51464994556759 1k
9.70051237752183 1k
9.58630764793841 1k
8.82899713059204 1k
9.48819613040153 1k
9.38593472850656 1k
9.89975635411381 1k
9.32942605891154 1k
9.51436874869912 1k
9.36967036752602 1k
9.10480469931373 1k
9.56458366916585 1k
9.09170378106029 1k
9.65864118678888 1k
9.75309613016758 1k
9.13961740362554 1k
8.93412012929513 1k
9.46537055343096 1k
10.6673018030092 1k
9.7956145102043 1k
9.96584244689211 1k
8.91003110609082 1k
8.85601785958834 1k
9.05511413286826 1k
9.52058657647423 1k
9.5978500407139 1k
9.57956817836219 1k
9.2385197118683 1k
10.2592731382156 1k
9.49155953546921 1k
10.1227925004806 1k
10.0888908607618 1k
9.23425989373201 1k
9.37151332076248 1k
9.77181288863293 1k
9.78712033991306 1k
9.0789602724146 1k
9.10190639250581 1k
9.24422946041704 1k
9.72087274235043 1k
9.67401579813735 1k
9.31139526878511 1k
10.2390678984608 1k
9.79042088107175 1k
9.93309019680166 1k
8.72337706926407 1k
9.29218585249186 1k
8.71619770344437 1k
9.88291482016446 1k
10.122960910975 1k
9.16038903551839 1k
9.22248834798332 1k
10.2859759707189 1k
9.407011871102 1k
10.0354071998935 1k
8.81526168045278 1k
9.75840072915187 1k
8.70849185614838 1k
9.95082224466397 1k
9.78333404181706 1k
9.28308077620837 1k
8.71522157630949 1k
9.79936259656263 1k
9.72535930617123 1k
9.54298758303115 1k
8.99500670199985 1k
9.88613962084204 1k
9.74757473041897 1k
9.70238349748812 1k
10.3223878760253 1k
10.2364391059859 1k
9.73653924532058 1k
9.37777100795126 1k
9.73217473981924 1k
9.05211509204853 1k
9.5860416917252 1k
9.00732693861358 1k
9.80203267908936 1k
9.00922349345613 1k
9.34442127799928 1k
9.08127259482977 1k
9.48036891616018 1k
9.16465863179433 1k
9.68134691037058 1k
10.0960978068159 1k
9.61172566117509 1k
10.4982548240026 1k
9.36757534389615 1k
9.38739124662489 1k
9.80338598832345 1k
9.37967572191725 1k
10.0154800092301 1k
9.4787396479902 1k
9.01755180402118 1k
9.85208915997869 1k
9.92157935449293 1k
9.47647807540781 1k
10.4985939402752 1k
9.36731307798372 1k
8.58810407448457 1k
9.60808542177041 1k
10.3238895521604 1k
9.65005082857871 1k
9.86832179803556 1k
9.60237763851833 1k
10.1217310875306 1k
9.86680886170899 1k
9.34871982052725 1k
9.56346732911545 1k
9.58551294232247 1k
8.93288912412721 1k
8.91285709444533 1k
9.69383072332604 1k
9.18080074103137 1k
10.1795993369695 1k
9.28648562128825 1k
9.7843120733249 1k
9.30190831915095 1k
9.44035869532452 1k
9.00379778225275 1k
9.79480011634254 1k
9.60779037543774 1k
9.91827254146483 1k
9.68686313613164 1k
10.0156532716789 1k
9.91668812005819 1k
10.2226641662295 1k
8.90044140875601 1k
9.59336780616963 1k
9.77609785196631 1k
9.51152456120067 1k
9.81190958802946 1k
9.85622979169818 1k
8.79554167938771 1k
8.7564907134416 1k
9.53148185488605 1k
9.81805063359491 1k
9.30778738272069 1k
9.87805342769255 1k
8.93422562316389 1k
9.81367182735073 1k
9.43785636522032 1k
8.39287038523522 1k
9.66837461027652 1k
9.6618556039868 1k
9.6322023194555 1k
9.5890610159568 1k
9.71157367256499 1k
9.13232325455238 1k
10.5617288270763 1k
9.57659734138171 1k
9.63963841802625 1k
9.10527123390381 1k
9.05181541175976 1k
9.58172513543396 1k
9.57246865399017 1k
10.2408425888762 1k
10.2530401571764 1k
9.8766853568123 1k
9.2993685446873 1k
9.93910770734493 1k
9.14274683609731 1k
