V1	size	type
36891.0159863096	0.5k	unweighted parsed
36956.9426194033	0.5k	unweighted parsed
37025.5407072297	0.5k	unweighted parsed
36905.6930343583	0.5k	unweighted parsed
37092.0915785289	0.5k	unweighted parsed
37044.2743842801	0.5k	unweighted parsed
37036.1488392765	0.5k	unweighted parsed
36991.2357001359	0.5k	unweighted parsed
36875.5004052911	0.5k	unweighted parsed
36969.7713239877	0.5k	unweighted parsed
36965.8986281744	0.5k	unweighted parsed
37010.7745027566	0.5k	unweighted parsed
36947.3985796993	0.5k	unweighted parsed
37053.0582196492	0.5k	unweighted parsed
36948.3315297185	0.5k	unweighted parsed
37057.0136220058	0.5k	unweighted parsed
36974.2704273085	0.5k	unweighted parsed
36928.601158119	0.5k	unweighted parsed
37042.9772232886	0.5k	unweighted parsed
36975.5453728158	0.5k	unweighted parsed
36932.0297847714	0.5k	unweighted parsed
36970.1823008727	0.5k	unweighted parsed
36999.4584273039	0.5k	unweighted parsed
36991.1616475434	0.5k	unweighted parsed
36967.7904711589	0.5k	unweighted parsed
37006.1276692156	0.5k	unweighted parsed
36839.9713210864	0.5k	unweighted parsed
36900.0486073788	0.5k	unweighted parsed
37003.3137372228	0.5k	unweighted parsed
36940.5561612089	0.5k	unweighted parsed
36924.1178730508	0.5k	unweighted parsed
36883.4174498342	0.5k	unweighted parsed
37047.2976582797	0.5k	unweighted parsed
36986.196341346	0.5k	unweighted parsed
37029.5752561305	0.5k	unweighted parsed
36868.3629342373	0.5k	unweighted parsed
36954.5145484699	0.5k	unweighted parsed
36878.3240472392	0.5k	unweighted parsed
36994.3956267726	0.5k	unweighted parsed
36925.2041822445	0.5k	unweighted parsed
36937.5701036364	0.5k	unweighted parsed
36881.2025885155	0.5k	unweighted parsed
36996.4697690459	0.5k	unweighted parsed
36986.5968084919	0.5k	unweighted parsed
37053.6190104248	0.5k	unweighted parsed
37082.2307202197	0.5k	unweighted parsed
36941.0629880274	0.5k	unweighted parsed
37044.3197229633	0.5k	unweighted parsed
36970.0051070642	0.5k	unweighted parsed
36974.5898966193	0.5k	unweighted parsed
37007.0377308959	0.5k	unweighted parsed
37005.3776448144	0.5k	unweighted parsed
36895.8343526069	0.5k	unweighted parsed
36906.5714328591	0.5k	unweighted parsed
36990.2686910694	0.5k	unweighted parsed
36977.1455085322	0.5k	unweighted parsed
36971.611432224	0.5k	unweighted parsed
37042.5538988527	0.5k	unweighted parsed
36989.5470801949	0.5k	unweighted parsed
37035.1699292989	0.5k	unweighted parsed
36942.1085696314	0.5k	unweighted parsed
36959.1593059346	0.5k	unweighted parsed
36871.9700633058	0.5k	unweighted parsed
36946.6753900993	0.5k	unweighted parsed
36937.4416887283	0.5k	unweighted parsed
36942.8149438191	0.5k	unweighted parsed
36896.4472397352	0.5k	unweighted parsed
36919.4036387909	0.5k	unweighted parsed
36960.2128719608	0.5k	unweighted parsed
36929.9139452354	0.5k	unweighted parsed
36950.5644961811	0.5k	unweighted parsed
36968.4922462649	0.5k	unweighted parsed
36985.2433068294	0.5k	unweighted parsed
36979.2472351694	0.5k	unweighted parsed
36924.1463360339	0.5k	unweighted parsed
36949.379725961	0.5k	unweighted parsed
37021.1118597479	0.5k	unweighted parsed
37019.5416263279	0.5k	unweighted parsed
36950.7827486894	0.5k	unweighted parsed
36943.1922653773	0.5k	unweighted parsed
37004.7352759143	0.5k	unweighted parsed
36998.4676662433	0.5k	unweighted parsed
37019.2015376818	0.5k	unweighted parsed
36945.0820186961	0.5k	unweighted parsed
36982.2896334758	0.5k	unweighted parsed
36924.5205092219	0.5k	unweighted parsed
36905.5192501947	0.5k	unweighted parsed
36876.6584569774	0.5k	unweighted parsed
36977.6181702004	0.5k	unweighted parsed
36953.4201542379	0.5k	unweighted parsed
36946.2794886209	0.5k	unweighted parsed
36948.4137100973	0.5k	unweighted parsed
36925.3071558528	0.5k	unweighted parsed
36918.5847666447	0.5k	unweighted parsed
36879.3344434247	0.5k	unweighted parsed
36928.2100408516	0.5k	unweighted parsed
36932.0926529429	0.5k	unweighted parsed
36995.5866866284	0.5k	unweighted parsed
37095.6896972349	0.5k	unweighted parsed
36940.4638816212	0.5k	unweighted parsed
36934.2663222805	0.5k	unweighted parsed
36917.6935005416	0.5k	unweighted parsed
36940.092865673	0.5k	unweighted parsed
36969.0115853358	0.5k	unweighted parsed
36939.9888170856	0.5k	unweighted parsed
36855.990503222	0.5k	unweighted parsed
37110.7497093727	0.5k	unweighted parsed
