V1 Size
7.34435910163936 1k
8.14811680001986 1k
7.73003769862683 1k
7.51667942328866 1k
6.76917901052977 1k
7.18333250769176 1k
7.86405640268014 1k
7.98555298670646 1k
7.91239188515515 1k
7.63807074331871 1k
7.93882553113268 1k
8.0767058600514 1k
6.38608854961835 1k
8.05758465916234 1k
7.49680234522715 1k
7.67513325489622 1k
6.95563856293709 1k
8.57137918228977 1k
7.36156881197007 1k
6.75642077600768 1k
6.56441155143446 1k
7.35159115998636 1k
8.34626246084315 1k
7.5456244573199 1k
7.31187861042938 1k
7.19387290659477 1k
7.59261028579388 1k
6.6039367182008 1k
7.93414469327244 1k
7.89607772453475 1k
7.60985996024964 1k
7.85309664384587 1k
7.27841150613316 1k
7.00070670205988 1k
7.25332360563004 1k
7.7126353657871 1k
7.42884444954087 1k
6.75222076182192 1k
7.07003353595187 1k
7.06498806999383 1k
7.4217420264814 1k
7.41449656508397 1k
8.11498871936156 1k
7.06645003248445 1k
6.66392715649056 1k
6.67075167194613 1k
7.51191372257462 1k
8.02817985950185 1k
7.05064929459683 1k
7.43644492042394 1k
7.10456775534422 1k
7.53668948479813 1k
7.0694241051849 1k
7.52308277060358 1k
7.56815616063415 1k
8.14553700542274 1k
7.54547011113275 1k
7.81350208501433 1k
7.61385662996859 1k
7.40826504595877 1k
8.02584201001222 1k
6.92546666111995 1k
7.64249187532707 1k
7.41381997565563 1k
7.62209013296257 1k
7.58457354937029 1k
7.08630415328174 1k
7.67791104549157 1k
8.13349084298597 1k
7.84759867493039 1k
6.77895979624196 1k
7.76714808038981 1k
7.01066028067222 1k
6.99958819331942 1k
8.02553922667042 1k
7.06220875186559 1k
8.32396505275478 1k
7.34588387645604 1k
7.62134458678357 1k
7.91958104889611 1k
6.92916507683096 1k
8.26058622564803 1k
7.66378981602229 1k
8.22914659885842 1k
8.08237765202872 1k
7.55440231137152 1k
7.29099722506189 1k
7.42445018977886 1k
8.11871885534812 1k
8.11660535346972 1k
7.59432559215564 1k
7.52941980188869 1k
6.37046852250255 1k
8.35060872545562 1k
7.68555884654113 1k
6.68745938820675 1k
6.88204872530025 1k
6.53191796046883 1k
7.40986769450293 1k
7.43001948602983 1k
6.58743890172771 1k
7.39903189773455 1k
6.74851653671573 1k
7.91515612290616 1k
7.46467321485957 1k
8.35095873572361 1k
7.98877017119391 1k
7.17162596766482 1k
8.40421695342091 1k
6.74526864531926 1k
7.69986349797382 1k
7.38431782258715 1k
7.18248993718585 1k
7.2988477880141 1k
8.14494119712674 1k
7.43321764607356 1k
7.52207655185616 1k
7.0005728185283 1k
6.57186040728907 1k
7.68801198487556 1k
7.34752530166944 1k
7.02612223347772 1k
8.13295627748072 1k
8.36480542777465 1k
7.61990785289339 1k
7.16932995035337 1k
8.19683881531174 1k
6.78578905415535 1k
7.37199013175673 1k
6.98111549718218 1k
8.05875691938689 1k
7.67705799468512 1k
6.93969594972509 1k
7.55258679916745 1k
8.01501436562035 1k
7.61097598848654 1k
7.1604599358371 1k
8.01776412759063 1k
7.90615399479571 1k
7.02358484238329 1k
8.08319428578141 1k
7.80372036424294 1k
7.34719880949058 1k
7.48767190818262 1k
7.74117039181052 1k
7.41732737900904 1k
7.62575072878264 1k
7.11617052972347 1k
7.65506496902129 1k
7.78876037315971 1k
7.14297521513417 1k
6.1914855073236 1k
7.20072508466358 1k
6.86397115473986 1k
7.16091954735768 1k
7.8713855456364 1k
8.32569707844139 1k
7.26819934759822 1k
8.16285226308014 1k
8.12195064785663 1k
6.57557602818508 1k
7.36116717278233 1k
7.49264273499986 1k
7.51626526450836 1k
7.15801552091113 1k
7.16069607239895 1k
6.49392584842128 1k
7.63758021502113 1k
8.20815076563154 1k
7.586183995043 1k
6.83526309291241 1k
8.04808663947611 1k
7.38459903468723 1k
6.79592463393342 1k
7.77511276392516 1k
7.67472474406263 1k
7.66372114666319 1k
7.62817827436011 1k
8.05016236346146 1k
7.88386120809015 1k
7.45752568172334 1k
8.29572095482043 1k
7.00752172381086 1k
8.11519705948897 1k
7.58712754840286 1k
8.1466225903172 1k
6.7633155264086 1k
7.26502708728235 1k
7.33672163753708 1k
7.31653920482302 1k
7.01402423363064 1k
6.98869929774141 1k
7.47292011424866 1k
8.07028619336775 1k
7.30630498687106 1k
7.2267416675628 1k
7.89194670054559 1k
7.03527763428434 1k
7.66869658719529 1k
7.90947805969745 1k
7.75854677454185 1k
7.65518216619227 1k
7.06746995715999 1k
6.80242855308683 1k
8.48317112600879 1k
7.08134485770443 1k
7.95896826646822 1k
7.671241366056 1k
7.21424332979391 1k
7.2455782776682 1k
7.48553712868029 1k
7.64582201514324 1k
7.60491963007008 1k
6.95878876463458 1k
8.12047833091422 1k
7.45648223980689 1k
9.35200699746501 1k
7.97034762738947 1k
7.30587972735614 1k
8.20242961890953 1k
7.29849707730886 1k
8.11318590157191 1k
6.6875907823341 1k
7.25334478651621 1k
7.06056070393661 1k
6.63760199153578 1k
8.27102875422521 1k
7.22975397049341 1k
6.43579065018096 1k
8.6875106790805 1k
7.98657475050755 1k
7.62198848088421 1k
7.24141352613156 1k
7.26933076954186 1k
7.68016986604681 1k
7.90979025444867 1k
7.93885338332718 1k
7.51167842851102 1k
7.73033832787441 1k
6.58907193171903 1k
7.19238185233938 1k
6.9368017452684 1k
7.87776872688255 1k
7.9540226605858 1k
7.98376809865353 1k
7.79587494635227 1k
7.87967130232766 1k
8.03752428884046 1k
6.92629924679422 1k
7.67770661340917 1k
