V1	size	type
104089.622618683	0.5k	unweighted parsed
104185.14544283	0.5k	unweighted parsed
104344.083465498	0.5k	unweighted parsed
104324.95590875	0.5k	unweighted parsed
104647.83182575	0.5k	unweighted parsed
103951.551471817	0.5k	unweighted parsed
104679.924204657	0.5k	unweighted parsed
104204.390641006	0.5k	unweighted parsed
104127.332948306	0.5k	unweighted parsed
104876.615739247	0.5k	unweighted parsed
104688.690827782	0.5k	unweighted parsed
104341.260273375	0.5k	unweighted parsed
104472.749562932	0.5k	unweighted parsed
104525.257023641	0.5k	unweighted parsed
104627.283258483	0.5k	unweighted parsed
104386.381703922	0.5k	unweighted parsed
104804.735438152	0.5k	unweighted parsed
104034.969856705	0.5k	unweighted parsed
103860.469773571	0.5k	unweighted parsed
104639.437756228	0.5k	unweighted parsed
104442.316008033	0.5k	unweighted parsed
104146.763339889	0.5k	unweighted parsed
104408.395289304	0.5k	unweighted parsed
104989.123689787	0.5k	unweighted parsed
104510.284272921	0.5k	unweighted parsed
104917.510274424	0.5k	unweighted parsed
103958.900137418	0.5k	unweighted parsed
104318.546545259	0.5k	unweighted parsed
104006.896317475	0.5k	unweighted parsed
104237.690941305	0.5k	unweighted parsed
104270.57084547	0.5k	unweighted parsed
104402.115289525	0.5k	unweighted parsed
104294.700282138	0.5k	unweighted parsed
104685.671237213	0.5k	unweighted parsed
104554.734664217	0.5k	unweighted parsed
104965.487966946	0.5k	unweighted parsed
104763.074871893	0.5k	unweighted parsed
104360.867835872	0.5k	unweighted parsed
104854.026816529	0.5k	unweighted parsed
104424.648643139	0.5k	unweighted parsed
104398.805287223	0.5k	unweighted parsed
104597.467829761	0.5k	unweighted parsed
104710.95386659	0.5k	unweighted parsed
104293.305879276	0.5k	unweighted parsed
104226.913513832	0.5k	unweighted parsed
104370.504568069	0.5k	unweighted parsed
104276.481895095	0.5k	unweighted parsed
104601.863804465	0.5k	unweighted parsed
104646.499864618	0.5k	unweighted parsed
104582.890136171	0.5k	unweighted parsed
104875.300293896	0.5k	unweighted parsed
104613.474357313	0.5k	unweighted parsed
104282.758414229	0.5k	unweighted parsed
104424.153183625	0.5k	unweighted parsed
104331.16447544	0.5k	unweighted parsed
104476.743897761	0.5k	unweighted parsed
104337.10948232	0.5k	unweighted parsed
104443.023305578	0.5k	unweighted parsed
104059.417942526	0.5k	unweighted parsed
104206.01555387	0.5k	unweighted parsed
104067.470347384	0.5k	unweighted parsed
104743.333196327	0.5k	unweighted parsed
104010.645114542	0.5k	unweighted parsed
104647.277574203	0.5k	unweighted parsed
104357.306209667	0.5k	unweighted parsed
104532.872484473	0.5k	unweighted parsed
104357.589237626	0.5k	unweighted parsed
104541.996551037	0.5k	unweighted parsed
104721.545329004	0.5k	unweighted parsed
104950.80061203	0.5k	unweighted parsed
104287.410679615	0.5k	unweighted parsed
104544.351853075	0.5k	unweighted parsed
104221.492237768	0.5k	unweighted parsed
104770.375208235	0.5k	unweighted parsed
104538.295754077	0.5k	unweighted parsed
104210.880332299	0.5k	unweighted parsed
104371.560272042	0.5k	unweighted parsed
104286.328714587	0.5k	unweighted parsed
104077.801440922	0.5k	unweighted parsed
104510.174870868	0.5k	unweighted parsed
104497.788669888	0.5k	unweighted parsed
104296.920704831	0.5k	unweighted parsed
104253.737090206	0.5k	unweighted parsed
104244.869888704	0.5k	unweighted parsed
104201.304315146	0.5k	unweighted parsed
104248.997244099	0.5k	unweighted parsed
104288.260352722	0.5k	unweighted parsed
104568.544448666	0.5k	unweighted parsed
104670.361179791	0.5k	unweighted parsed
104853.915651072	0.5k	unweighted parsed
104590.700418066	0.5k	unweighted parsed
104313.906227031	0.5k	unweighted parsed
104399.534366701	0.5k	unweighted parsed
104187.88328132	0.5k	unweighted parsed
104754.474455978	0.5k	unweighted parsed
104258.348560454	0.5k	unweighted parsed
103922.874064695	0.5k	unweighted parsed
105100.126084602	0.5k	unweighted parsed
104445.03914809	0.5k	unweighted parsed
104563.536221935	0.5k	unweighted parsed
104313.678732402	0.5k	unweighted parsed
104035.680856947	0.5k	unweighted parsed
103926.619480219	0.5k	unweighted parsed
104444.631977222	0.5k	unweighted parsed
104079.535064246	0.5k	unweighted parsed
104260.904320619	0.5k	unweighted parsed
104090.814252355	0.5k	unweighted parsed
104640.808585994	0.5k	unweighted parsed
104628.231296509	0.5k	unweighted parsed
104293.750227789	0.5k	unweighted parsed
104979.368962495	0.5k	unweighted parsed
104214.239332747	0.5k	unweighted parsed
104486.657633736	0.5k	unweighted parsed
104535.982949071	0.5k	unweighted parsed
104290.972676146	0.5k	unweighted parsed
103891.546992372	0.5k	unweighted parsed
104130.600719114	0.5k	unweighted parsed
104224.509168008	0.5k	unweighted parsed
104039.484249051	0.5k	unweighted parsed
104335.668900392	0.5k	unweighted parsed
104891.787915606	0.5k	unweighted parsed
104372.950229133	0.5k	unweighted parsed
104186.352676996	0.5k	unweighted parsed
105189.667364508	0.5k	unweighted parsed
104667.396186575	0.5k	unweighted parsed
104313.246833514	0.5k	unweighted parsed
104405.282362143	0.5k	unweighted parsed
104030.326513729	0.5k	unweighted parsed
104175.688380167	0.5k	unweighted parsed
104630.27904607	0.5k	unweighted parsed
104271.138904531	0.5k	unweighted parsed
104564.728061099	0.5k	unweighted parsed
104208.497238778	0.5k	unweighted parsed
104340.282221443	0.5k	unweighted parsed
104180.284546712	0.5k	unweighted parsed
104507.804834064	0.5k	unweighted parsed
104358.22976821	0.5k	unweighted parsed
104823.95931958	0.5k	unweighted parsed
104655.586219197	0.5k	unweighted parsed
104352.713387077	0.5k	unweighted parsed
103725.600527576	0.5k	unweighted parsed
104702.001744754	0.5k	unweighted parsed
104325.111269838	0.5k	unweighted parsed
104123.719050372	0.5k	unweighted parsed
104370.910796305	0.5k	unweighted parsed
104053.45335508	0.5k	unweighted parsed
104547.864093469	0.5k	unweighted parsed
104779.063402438	0.5k	unweighted parsed
104686.772883346	0.5k	unweighted parsed
104101.243843687	0.5k	unweighted parsed
104090.10539788	0.5k	unweighted parsed
104450.480234631	0.5k	unweighted parsed
105100.25309214	0.5k	unweighted parsed
104402.635156364	0.5k	unweighted parsed
104113.236755586	0.5k	unweighted parsed
105327.441123086	0.5k	unweighted parsed
