V1	size	type
36856.3712731594	1k	unweighted
36856.3239894903	1k	unweighted
36810.6642435653	1k	unweighted
36812.7275333017	1k	unweighted
36814.5407563163	1k	unweighted
36826.4755539332	1k	unweighted
36774.2905930533	1k	unweighted
36835.4401713189	1k	unweighted
36787.9941521273	1k	unweighted
36828.4933520567	1k	unweighted
36831.7401497489	1k	unweighted
36883.3168968297	1k	unweighted
36749.1930004572	1k	unweighted
36815.5212293784	1k	unweighted
36838.2830827867	1k	unweighted
36860.4583157851	1k	unweighted
36801.4720266562	1k	unweighted
36888.6565104939	1k	unweighted
36822.8253273944	1k	unweighted
36892.6443635534	1k	unweighted
36869.9282576278	1k	unweighted
36836.1068384992	1k	unweighted
36865.742248969	1k	unweighted
36792.1339360006	1k	unweighted
36906.1565640033	1k	unweighted
36738.835437498	1k	unweighted
36810.5151040796	1k	unweighted
36828.8505849001	1k	unweighted
36820.3307944496	1k	unweighted
36822.7465620542	1k	unweighted
36831.6173410988	1k	unweighted
36781.0787400912	1k	unweighted
36869.4196481235	1k	unweighted
36708.9396410125	1k	unweighted
36861.0954475724	1k	unweighted
36799.8392576544	1k	unweighted
36854.1532247208	1k	unweighted
36857.4620733219	1k	unweighted
36839.7107522139	1k	unweighted
36804.7638260001	1k	unweighted
36825.1153059618	1k	unweighted
36895.5641549013	1k	unweighted
36872.6726381892	1k	unweighted
36743.4840873731	1k	unweighted
36876.6948250291	1k	unweighted
36836.0187086602	1k	unweighted
36823.1156395923	1k	unweighted
36811.5443019561	1k	unweighted
36858.3094954907	1k	unweighted
36874.0276363038	1k	unweighted
36774.4086524898	1k	unweighted
36830.4701567392	1k	unweighted
36836.3403878889	1k	unweighted
36723.7858685191	1k	unweighted
36798.7581448332	1k	unweighted
36800.6840959093	1k	unweighted
36860.008157156	1k	unweighted
36817.6985586786	1k	unweighted
36810.0693196409	1k	unweighted
36837.4133698108	1k	unweighted
36854.3077079343	1k	unweighted
36854.4821660454	1k	unweighted
36860.1588432694	1k	unweighted
36804.1248493397	1k	unweighted
36879.8934591394	1k	unweighted
36794.1688968431	1k	unweighted
36840.9000358016	1k	unweighted
36840.485627479	1k	unweighted
36801.6176349847	1k	unweighted
36839.6296715198	1k	unweighted
36808.7672490585	1k	unweighted
36782.6006233965	1k	unweighted
36809.1516735906	1k	unweighted
36822.9563375976	1k	unweighted
36743.6706297746	1k	unweighted
36852.6819917954	1k	unweighted
36823.033973267	1k	unweighted
36886.197639773	1k	unweighted
36835.6257769306	1k	unweighted
36809.2090040769	1k	unweighted
36808.7144423392	1k	unweighted
36786.5038582961	1k	unweighted
36902.0946643615	1k	unweighted
36844.8613096479	1k	unweighted
36867.1221055153	1k	unweighted
36806.0749888386	1k	unweighted
36818.2981518102	1k	unweighted
36767.6235473234	1k	unweighted
36836.6419367096	1k	unweighted
36827.0031638944	1k	unweighted
36828.8727883248	1k	unweighted
36894.5801054133	1k	unweighted
36855.1158900848	1k	unweighted
36831.702952845	1k	unweighted
36844.5814305356	1k	unweighted
36852.76244815	1k	unweighted
36805.4292744532	1k	unweighted
36787.9264730073	1k	unweighted
36812.5154612682	1k	unweighted
36905.2720947799	1k	unweighted
36764.9137144809	1k	unweighted
36843.3964846262	1k	unweighted
36811.6043243277	1k	unweighted
36769.6561089384	1k	unweighted
36789.1689799708	1k	unweighted
36777.3659697659	1k	unweighted
36836.2776624576	1k	unweighted
36864.0771379923	1k	unweighted
36802.8039362671	1k	unweighted
36850.840353069	1k	unweighted
36773.0069819611	1k	unweighted
36825.1731589722	1k	unweighted
36863.4044366151	1k	unweighted
36801.264405915	1k	unweighted
36914.8148761167	1k	unweighted
36810.3658725639	1k	unweighted
36859.0561542767	1k	unweighted
36860.0983259413	1k	unweighted
36902.8933827866	1k	unweighted
36922.4181081275	1k	unweighted
36757.1136359008	1k	unweighted
36802.94902072	1k	unweighted
36836.937008556	1k	unweighted
36823.1371635333	1k	unweighted
36834.3356317882	1k	unweighted
36822.6335741299	1k	unweighted
36805.2282413328	1k	unweighted
36789.2689307456	1k	unweighted
36865.1582866142	1k	unweighted
36809.7755448141	1k	unweighted
36772.867435843	1k	unweighted
36807.7049105809	1k	unweighted
36712.0976089724	1k	unweighted
36788.7115976578	1k	unweighted
36849.9862895681	1k	unweighted
36794.4458356176	1k	unweighted
36875.1417400084	1k	unweighted
36771.0248521118	1k	unweighted
36847.2844228978	1k	unweighted
36791.3987965106	1k	unweighted
36810.8652625627	1k	unweighted
36819.9728108642	1k	unweighted
36826.5017281569	1k	unweighted
36899.2242070196	1k	unweighted
36828.044606279	1k	unweighted
36804.5641103388	1k	unweighted
36911.2064845259	1k	unweighted
36863.6247010073	1k	unweighted
36802.5314456589	1k	unweighted
36738.9834827123	1k	unweighted
36770.4772761067	1k	unweighted
36835.7643245239	1k	unweighted
36766.792905636	1k	unweighted
36812.8127029287	1k	unweighted
36751.0321688066	1k	unweighted
36887.497857749	1k	unweighted
36859.4254175054	1k	unweighted
36917.181474144	1k	unweighted
36845.8422527159	1k	unweighted
36775.2354808851	1k	unweighted
36844.3295791744	1k	unweighted
36862.8213459653	1k	unweighted
36831.9090486618	1k	unweighted
36835.2876018322	1k	unweighted
36830.5035532337	1k	unweighted
36799.0822541409	1k	unweighted
36863.3201123064	1k	unweighted
36884.3299132433	1k	unweighted
36797.1582097604	1k	unweighted
36956.7921321966	1k	unweighted
36836.9649512618	1k	unweighted
36798.7179916901	1k	unweighted
36759.7283959087	1k	unweighted
36895.6515257688	1k	unweighted
36856.311735626	1k	unweighted
36798.2228812145	1k	unweighted
36839.4552532078	1k	unweighted
36802.9026308816	1k	unweighted
36806.9016481532	1k	unweighted
36802.3602980334	1k	unweighted
36820.8729194214	1k	unweighted
36878.160759474	1k	unweighted
36768.9146990022	1k	unweighted
36866.1135863124	1k	unweighted
36925.7962755094	1k	unweighted
36631.4172600901	1k	unweighted
36806.9059514768	1k	unweighted
36867.5897806776	1k	unweighted
36876.6329354015	1k	unweighted
36801.0772054379	1k	unweighted
36817.8695942794	1k	unweighted
36828.3804146967	1k	unweighted
36676.1536534515	1k	unweighted
36767.3926680573	1k	unweighted
36829.5553438849	1k	unweighted
36939.6584670887	1k	unweighted
36797.9872252058	1k	unweighted
36829.3362487897	1k	unweighted
36958.4236446822	1k	unweighted
36807.8532953933	1k	unweighted
36796.4149552644	1k	unweighted
36895.65328131	1k	unweighted
36758.6175707651	1k	unweighted
36813.1036213924	1k	unweighted
36859.3042826208	1k	unweighted
36777.7278750007	1k	unweighted
36794.1113132045	1k	unweighted
36859.833774976	1k	unweighted
36829.6065661932	1k	unweighted
36793.6890992085	1k	unweighted
36760.790568223	1k	unweighted
36795.7729005089	1k	unweighted
36857.8977001175	1k	unweighted
36837.5360326297	1k	unweighted
36854.5588736834	1k	unweighted
36801.4980673157	1k	unweighted
36890.7683111942	1k	unweighted
36766.0449894958	1k	unweighted
36887.7573441482	1k	unweighted
36859.8347903743	1k	unweighted
36868.4359074554	1k	unweighted
36799.0935269605	1k	unweighted
36846.1089642041	1k	unweighted
36828.1041691341	1k	unweighted
36858.8975969354	1k	unweighted
36810.5242079926	1k	unweighted
36825.4454640114	1k	unweighted
36860.7368418824	1k	unweighted
36858.6540074282	1k	unweighted
36802.4879133639	1k	unweighted
36819.4488694103	1k	unweighted
36795.5684850858	1k	unweighted
36792.0233111345	1k	unweighted
36812.5457472775	1k	unweighted
36912.9626079488	1k	unweighted
36813.6275658491	1k	unweighted
36856.3575014803	1k	unweighted
36782.3409078732	1k	unweighted
36780.3843870171	1k	unweighted
36803.9389722323	1k	unweighted
36779.7196624544	1k	unweighted
36773.9229005563	1k	unweighted
36872.0238277358	1k	unweighted
36862.8761490504	1k	unweighted
36821.0611184209	1k	unweighted
36758.9132276929	1k	unweighted
36790.1851318073	1k	unweighted
36871.7483062227	1k	unweighted
36934.7150941436	1k	unweighted
36839.1949146488	1k	unweighted
36832.38982945	1k	unweighted
36836.2083778613	1k	unweighted
36836.1155163504	1k	unweighted
36874.0756028446	1k	unweighted
36826.1981134825	1k	unweighted
36771.0037156567	1k	unweighted
36865.1930858133	1k	unweighted
36887.9905303214	1k	unweighted
36820.7787767441	1k	unweighted
36815.0047863431	1k	unweighted
36875.806039431	1k	unweighted
36872.80269316	1k	unweighted
36768.2104037045	1k	unweighted
36791.2415653692	1k	unweighted
36826.7857076018	1k	unweighted
36828.3988106564	1k	unweighted
36846.067747596	1k	unweighted
36789.5767583653	1k	unweighted
36835.7863921989	1k	unweighted
36768.8094031402	1k	unweighted
36815.7129198493	1k	unweighted
36827.5044809208	1k	unweighted
36799.7504718522	1k	unweighted
36838.2091508979	1k	unweighted
36846.2911843125	1k	unweighted
36883.5204276916	1k	unweighted
36879.0683643771	1k	unweighted
36798.0161214661	1k	unweighted
36837.3111126147	1k	unweighted
36790.6953534021	1k	unweighted
36763.649093189	1k	unweighted
36814.8516765384	1k	unweighted
36781.3509972039	1k	unweighted
36873.4051676246	1k	unweighted
36762.1420617803	1k	unweighted
36869.9609327828	1k	unweighted
36826.4143948652	1k	unweighted
36904.580146712	1k	unweighted
36759.6786589987	1k	unweighted
36835.4399832979	1k	unweighted
36864.167488008	1k	unweighted
36823.5038117644	1k	unweighted
36857.9602124825	1k	unweighted
36775.4453375484	1k	unweighted
36801.1382127642	1k	unweighted
36765.2904676416	1k	unweighted
36890.0391494981	1k	unweighted
36774.1818175098	1k	unweighted
36799.4044705019	1k	unweighted
36892.0822559594	1k	unweighted
36945.0189582615	1k	unweighted
36749.5538734275	1k	unweighted
36768.5199996485	1k	unweighted
36782.4498861036	1k	unweighted
36839.2137118879	1k	unweighted
36840.5493022127	1k	unweighted
36876.8853495065	1k	unweighted
36819.6406762552	1k	unweighted
36749.1136669371	1k	unweighted
36863.693886091	1k	unweighted
36727.0055765804	1k	unweighted
36857.6125513123	1k	unweighted
36846.6606743215	1k	unweighted
36806.5164022521	1k	unweighted
36865.751095022	1k	unweighted
36833.2965074785	1k	unweighted
36740.7623103117	1k	unweighted
36783.9812948614	1k	unweighted
36806.5819036826	1k	unweighted
36796.6114101875	1k	unweighted
36873.7897019446	1k	unweighted
36871.3011889001	1k	unweighted
36759.3023342308	1k	unweighted
36770.2105171441	1k	unweighted
36749.6294597539	1k	unweighted
36769.4181386589	1k	unweighted
36815.267818984	1k	unweighted
36833.7797663119	1k	unweighted
36781.6992323425	1k	unweighted
36781.0748598838	1k	unweighted
36759.6868224366	1k	unweighted
36894.6131621789	1k	unweighted
36854.2615278751	1k	unweighted
36865.2718031617	1k	unweighted
36790.5397897607	1k	unweighted
36848.1989734955	1k	unweighted
36879.7081951046	1k	unweighted
36876.1230133465	1k	unweighted
36801.4907969634	1k	unweighted
36803.0871190347	1k	unweighted
36760.2469976544	1k	unweighted
36751.5591575582	1k	unweighted
36688.6883514159	1k	unweighted
36812.3413974472	1k	unweighted
36870.5053945379	1k	unweighted
36750.1193762995	1k	unweighted
36796.8258267663	1k	unweighted
36758.2176796806	1k	unweighted
36768.9673950673	1k	unweighted
36798.1197433309	1k	unweighted
36820.3797755247	1k	unweighted
36883.9622926931	1k	unweighted
36797.1218849362	1k	unweighted
36853.9537647417	1k	unweighted
36940.4339248753	1k	unweighted
36863.7296219582	1k	unweighted
36836.4917040288	1k	unweighted
36795.3784800581	1k	unweighted
36836.0337584077	1k	unweighted
36890.8723209781	1k	unweighted
36818.505832118	1k	unweighted
36852.0510437698	1k	unweighted
36811.2609447943	1k	unweighted
36818.6153528066	1k	unweighted
36832.9525694135	1k	unweighted
36850.64758782	1k	unweighted
36723.8961182869	1k	unweighted
36822.2309097573	1k	unweighted
36928.3732086353	1k	unweighted
36906.3137627347	1k	unweighted
36810.4167674591	1k	unweighted
36848.6933149404	1k	unweighted
36815.8717699086	1k	unweighted
36784.7124362449	1k	unweighted
36767.8023716605	1k	unweighted
36756.0365691652	1k	unweighted
36886.1024329562	1k	unweighted
36785.6681542887	1k	unweighted
36810.6408897569	1k	unweighted
36871.262155909	1k	unweighted
36796.2850316197	1k	unweighted
36821.8989759965	1k	unweighted
36750.3721815975	1k	unweighted
36857.5337679444	1k	unweighted
36882.4065342293	1k	unweighted
36892.4434447549	1k	unweighted
36884.1070339023	1k	unweighted
36810.8707217903	1k	unweighted
36812.7812251801	1k	unweighted
36764.5955954006	1k	unweighted
36833.8568347853	1k	unweighted
36824.8592802391	1k	unweighted
36891.2748112942	1k	unweighted
36783.8864076172	1k	unweighted
36855.8089874609	1k	unweighted
36800.1721978764	1k	unweighted
36797.7146226848	1k	unweighted
36790.221909622	1k	unweighted
36807.7705154925	1k	unweighted
36857.6589511638	1k	unweighted
36798.9374896007	1k	unweighted
36844.7776101165	1k	unweighted
36834.9897755949	1k	unweighted
36831.3676641613	1k	unweighted
36762.683513438	1k	unweighted
36877.5643396498	1k	unweighted
36820.6022705798	1k	unweighted
36834.2910220564	1k	unweighted
36796.67342512	1k	unweighted
36832.0958243871	1k	unweighted
36775.7505676921	1k	unweighted
36813.4847145753	1k	unweighted
36827.7250896336	1k	unweighted
